Generation	Alive
264	60
265	54
266	53
267	50
268	50
269	52
270	52
271	56
272	56
273	64
274	56
275	56
276	56
277	56
278	56
279	56
280	56
281	56
282	56
283	56
0	592
1	159
2	141
3	146
4	144
5	156
6	142
7	149
8	160
9	139
10	136
11	132
12	117
13	116
14	140
15	121
16	150
17	128
18	141
19	136
20	141
21	134
22	149
23	133
24	122
25	116
26	109
27	118
28	118
29	109
30	109
31	120
32	122
33	109
34	121
35	133
36	118
37	99
38	105
39	94
40	104
41	89
42	100
43	104
44	108
45	113
46	100
47	97
48	106
49	109
50	117
51	99
52	102
53	107
54	101
55	107
56	99
57	100
58	100
59	107
60	98
61	94
62	95
63	98
64	101
65	91
66	85
67	90
68	81
69	89
70	87
71	85
72	94
73	97
74	111
75	114
76	110
77	115
78	112
79	112
80	111
81	121
82	118
83	108
84	102
85	108
86	105
87	119
88	109
89	115
90	100
91	110
92	109
93	105
94	103
95	97
96	103
97	94
98	98
99	93
100	109
101	91
102	94
103	94
104	93
105	100
106	89
107	85
108	95
109	95
110	94
111	96
112	102
113	103
114	99
115	99
116	108
117	93
118	93
119	91
120	106
121	91
122	95
123	96
124	100
125	88
126	94
127	101
128	95
129	100
130	109
131	109
132	104
133	93
134	102
135	93
136	102
137	85
138	84
139	80
140	83
141	84
142	87
143	79
144	90
145	85
146	82
147	86
148	88
149	94
150	90
151	94
152	109
153	93
154	78
155	78
156	64
157	61
158	61
159	58
160	55
161	54
162	54
163	56
164	61
165	61
166	57
167	59
168	56
169	60
170	56
171	60
172	57
173	56
174	56
175	56
176	58
177	61
178	56
179	57
180	59
181	60
182	58
183	62
184	67
185	68
186	77
187	60
188	62
189	61
190	58
191	59
192	58
193	56
194	61
195	59
196	65
197	53
198	61
199	55
200	61
201	53
202	54
203	50
204	56
205	51
206	50
207	50
208	47
209	50
210	47
211	54
212	43
213	41
214	38
215	36
216	36
217	36
218	35
219	35
220	35
221	35
222	34
223	32
224	31
225	29
226	29
227	29
228	29
229	29
230	29
231	29
232	29
233	29
234	29
0	584
1	167
2	154
3	162
4	161
5	154
6	155
7	170
8	178
9	168
10	189
11	181
12	160
13	189
14	167
15	177
16	159
17	184
18	199
19	189
20	190
21	184
22	190
23	180
24	175
25	159
26	144
27	156
28	151
29	138
30	148
31	134
32	127
33	108
34	126
35	122
36	107
37	109
38	116
39	120
40	125
41	117
42	110
43	96
44	93
45	88
46	90
47	88
48	72
49	68
50	72
51	67
52	71
53	75
54	77
55	77
56	84
57	80
58	84
59	82
60	89
61	102
62	92
63	82
64	89
65	85
66	73
67	82
68	95
69	79
70	82
71	72
72	69
73	55
74	54
75	48
76	56
77	64
78	63
79	69
80	65
81	79
82	67
83	68
84	67
85	71
86	79
87	71
88	91
89	83
90	66
91	72
92	62
93	83
94	79
95	61
96	70
97	60
98	60
99	62
100	64
101	72
102	81
103	74
104	80
105	75
106	81
107	76
108	88
109	78
110	87
111	71
112	88
113	81
114	79
115	93
116	85
117	99
118	88
119	100
120	101
121	99
122	89
123	87
124	75
125	78
126	66
127	60
128	60
129	64
130	61
131	51
132	57
133	43
134	41
135	36
136	33
137	30
138	29
139	31
140	29
141	27
142	28
143	29
144	31
145	30
146	31
147	27
148	30
149	28
150	29
151	29
152	33
153	32
154	33
155	39
156	35
157	37
158	35
159	39
160	33
161	32
162	30
163	35
164	32
165	35
166	34
167	35
168	38
169	44
170	39
171	51
172	42
173	54
174	36
175	38
176	30
177	28
178	24
179	30
180	29
181	30
182	35
183	31
184	40
185	34
186	42
187	42
188	44
189	39
190	46
191	41
192	40
193	49
194	39
195	50
196	45
197	49
198	45
199	44
200	48
201	52
202	55
203	56
204	56
205	58
206	71
207	70
208	67
209	70
210	73
211	68
212	69
213	72
214	57
215	54
216	51
217	49
218	57
219	50
220	54
221	57
222	53
223	58
224	51
225	61
226	56
227	46
228	43
229	46
230	40
231	34
232	29
233	30
234	25
235	22
236	19
237	19
238	19
239	19
240	19
241	19
242	19
243	19
244	19
245	19
0	592
1	146
2	136
3	141
4	132
5	134
6	120
7	117
8	114
9	117
10	113
11	112
12	106
13	115
14	107
15	126
16	114
17	112
18	111
19	116
20	109
21	118
22	110
23	119
24	97
25	96
26	91
27	91
28	96
29	97
30	86
31	85
32	88
33	85
34	89
35	70
36	78
37	70
38	82
39	67
40	76
41	79
42	77
43	91
44	89
45	90
46	96
47	91
48	94
49	86
50	91
51	90
52	98
53	93
54	108
55	107
56	113
57	118
58	109
59	117
60	109
61	121
62	134
63	129
64	148
65	158
66	152
67	140
68	131
69	128
70	129
71	141
72	124
73	118
74	126
75	128
76	118
77	143
78	113
79	119
80	129
81	114
82	129
83	116
84	120
85	114
86	126
87	134
88	148
89	146
90	156
91	159
92	172
93	163
94	172
95	153
96	157
97	151
98	153
99	161
100	164
101	167
102	148
103	149
104	129
105	111
106	117
107	96
108	86
109	70
110	68
111	59
112	60
113	60
114	56
115	66
116	55
117	53
118	51
119	49
120	48
121	53
122	50
123	40
124	41
125	33
126	29
127	35
128	32
129	37
130	32
131	30
132	32
133	36
134	39
135	44
136	43
137	40
138	49
139	42
140	50
141	35
142	34
143	35
144	35
145	48
146	38
147	50
148	43
149	57
150	44
151	48
152	48
153	53
154	49
155	66
156	50
157	65
158	49
159	40
160	43
161	37
162	32
163	38
164	30
165	30
166	28
167	28
168	30
169	30
170	31
171	30
172	32
173	35
174	32
175	32
176	34
177	34
178	38
179	40
180	40
181	46
182	45
183	45
184	46
185	46
186	49
187	58
188	51
189	65
190	56
191	62
192	58
193	60
194	65
195	69
196	81
197	72
198	82
199	79
200	80
201	81
202	79
203	77
204	76
205	76
206	73
207	69
208	74
209	70
210	72
211	71
212	67
213	65
214	71
215	59
216	63
217	65
218	58
219	56
220	61
221	60
222	53
223	46
224	41
225	40
226	42
227	46
228	44
229	54
230	48
231	64
232	56
233	72
234	64
235	72
236	76
237	90
238	55
239	59
240	57
241	57
242	54
243	54
244	57
245	57
246	58
247	57
248	58
249	60
250	60
251	57
252	60
253	54
254	56
255	56
256	62
257	60
258	61
259	68
260	67
261	75
262	69
263	75
264	61
265	62
266	68
267	62
268	63
269	63
270	58
271	62
272	59
273	64
274	65
275	69
276	65
277	69
278	66
279	59
280	64
281	59
282	61
283	66
284	61
285	67
286	67
287	70
288	65
289	63
290	65
291	69
292	71
293	75
294	68
295	54
296	44
297	40
298	38
299	38
300	38
301	40
302	38
303	40
304	41
305	45
306	41
307	41
308	39
309	39
310	45
311	37
312	35
313	31
314	31
315	31
316	31
317	31
318	31
319	31
320	31
321	31
322	31
0	606
1	140
2	120
3	116
4	114
5	127
6	105
7	114
8	121
9	122
10	139
11	117
12	111
13	118
14	119
15	115
16	115
17	112
18	99
19	100
20	109
21	105
22	108
23	109
24	113
25	118
26	99
27	93
28	106
29	94
30	82
31	73
32	81
33	75
34	84
35	83
36	86
37	100
38	75
39	70
40	54
41	54
42	56
43	52
44	51
45	58
46	58
47	71
48	62
49	64
50	54
51	56
52	61
53	58
54	51
55	46
56	48
57	49
58	50
59	50
60	53
61	54
62	56
63	53
64	52
65	49
66	54
67	51
68	58
69	56
70	64
71	62
72	58
73	53
74	53
75	55
76	61
77	62
78	61
79	60
80	70
81	62
82	62
83	62
84	53
85	57
86	59
87	52
88	65
89	56
90	56
91	54
92	67
93	58
94	76
95	59
96	74
97	66
98	76
99	73
100	81
101	94
102	97
103	65
104	67
105	77
106	86
107	72
108	80
109	83
110	82
111	85
112	89
113	92
114	106
115	116
116	109
117	116
118	106
119	97
120	99
121	96
122	81
123	78
124	82
125	68
126	75
127	65
128	67
129	66
130	74
131	76
132	76
133	80
134	83
135	84
136	100
137	92
138	84
139	93
140	100
141	99
142	111
143	109
144	125
145	106
146	118
147	113
148	129
149	120
150	112
151	121
152	124
153	117
154	121
155	113
156	121
157	119
158	134
159	132
160	140
161	137
162	113
163	116
164	111
165	95
166	100
167	98
168	91
169	94
170	108
171	93
172	94
173	99
174	98
175	77
176	74
177	73
178	67
179	71
180	69
181	80
182	90
183	88
184	82
185	78
186	73
187	74
188	60
189	62
190	47
191	38
192	38
193	40
194	44
195	42
196	45
197	49
198	45
199	48
200	47
201	49
202	46
203	40
204	44
205	44
206	46
207	42
208	42
209	39
210	41
211	35
212	31
213	32
214	32
215	30
216	29
217	27
218	27
219	27
220	27
221	27
222	27
223	27
224	27
225	27
226	27
